Tensor_id,ActiveTime,InactiveTime
1293,1,2318
1294,1,2318
1295,1533,786
1296,1533,786
1297,1,2318
1298,1,2318
1299,1,2318
1300,1,2318
1303,2,2317
1304,2,2317
1306,3,2316
1307,3,2316
1308,1523,796
1309,4,2315
1311,2,2317
1312,1,2318
1313,1,2318
1314,1524,795
1315,1524,795
1316,1,2318
1317,1,2318
1318,1,2318
1319,1,2318
1322,1519,800
1323,2,2317
1324,1517,802
1326,3,2316
1327,3,2316
1328,3,2316
1329,1511,808
1331,3,2316
1332,3,2316
1333,3,2316
1334,2,2317
1335,2,2317
1336,1506,813
1337,29,2290
1338,2,2317
1340,3,2316
1341,4,2315
1342,1496,823
1343,4,2315
1345,2,2317
1346,1,2318
1347,1,2318
1348,1497,822
1349,1497,822
1350,1,2318
1351,1,2318
1352,1,2318
1353,1,2318
1356,2,2317
1357,2,2317
1359,3,2316
1360,3,2316
1361,1487,832
1362,4,2315
1364,2,2317
1365,1,2318
1366,1,2318
1367,1488,831
1368,1488,831
1369,1,2318
1370,1,2318
1371,1,2318
1372,1,2318
1375,2,2317
1376,2,2317
1378,3,2316
1379,3,2316
1380,1478,841
1381,4,2315
1383,2,2317
1384,1,2318
1385,1,2318
1386,1479,840
1387,1479,840
1388,1,2318
1389,1,2318
1390,1,2318
1391,1,2318
1394,1474,845
1395,2,2317
1396,1472,847
1398,3,2316
1399,3,2316
1400,3,2316
1401,1466,853
1403,3,2316
1404,3,2316
1405,3,2316
1406,2,2317
1407,2,2317
1408,1461,858
1409,29,2290
1410,2,2317
1412,3,2316
1413,4,2315
1414,1451,868
1415,4,2315
1417,2,2317
1418,1,2318
1419,1,2318
1420,1452,867
1421,1452,867
1422,1,2318
1423,1,2318
1424,1,2318
1425,1,2318
1428,2,2317
1429,2,2317
1431,3,2316
1432,3,2316
1433,1442,877
1434,4,2315
1436,2,2317
1437,1,2318
1438,1,2318
1439,1443,876
1440,1443,876
1441,1,2318
1442,1,2318
1443,1,2318
1444,1,2318
1447,2,2317
1448,2,2317
1450,3,2316
1451,3,2316
1452,1433,886
1453,4,2315
1455,2,2317
1456,1,2318
1457,1,2318
1458,1434,885
1459,1434,885
1460,1,2318
1461,1,2318
1462,1,2318
1463,1,2318
1466,1429,890
1467,2,2317
1468,1427,892
1470,3,2316
1471,3,2316
1472,3,2316
1473,1421,898
1475,3,2316
1476,3,2316
1477,3,2316
1478,2,2317
1479,2,2317
1480,1416,903
1481,29,2290
1482,2,2317
1484,3,2316
1485,4,2315
1486,1406,913
1487,4,2315
1489,2,2317
1490,1,2318
1491,1,2318
1492,1407,912
1493,1407,912
1494,1,2318
1495,1,2318
1496,1,2318
1497,1,2318
