Size_MB,Lifetime
75,2
0.195312,2
0.195312,148
0.195312,2
0.195312,144
0.195312,2
0.195312,3
75,142
0.195312,2
75,141
75,9
75,2
75,2
75,5
75,2
75,130
75,4
75,2
225,2
75,3
1.6875,3
75,124
225,4
225,2
58.5938,120
75,4
75,2
58.5938,117
58.5938,5
58.5938,2
58.5938,115
58.5938,3
0.5625,110
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,102
75,38
75,2
0.195312,2
75,3
75,2
0.195312,99
0.195312,2
75,95
75,4
75,2
75,93
75,3
0.195312,2
75,2
0.195312,2
0.195312,90
0.195312,2
0.195312,86
0.195312,2
0.195312,3
75,84
0.195312,2
75,83
75,9
75,2
75,2
75,5
75,2
75,72
75,4
75,2
300,2
75,3
2.25,3
300,60
300,4
300,2
300,64
300,5
300,2
300,2
300,3
300,56
300,3
300,2
300,53
300,9
300,2
300,48
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,40
75,41
75,2
0.195312,2
75,3
75,2
0.195312,37
0.195312,2
75,33
75,4
75,2
75,31
75,3
0.195312,2
75,2
0.195312,2
0.195312,28
0.195312,2
0.195312,24
0.195312,2
0.195312,3
75,22
0.195312,2
75,21
75,9
75,2
75,2
75,5
75,2
75,11
75,4
75,2
1.5,7
75,3
0.00390625,2
3.90625,2
1.5,3
1.46484,3
3.90625,2
3.90625,4
3.90625,2
3.90625,2
863.504,1487
911.504,2
